overall_rank,amfi_code,scheme_name,fund_house,category,cagr_3yr,sharpe_ratio,alpha,beta,expense_ratio_pct,max_drawdown,fund_score
1.0,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,0.33991970400445304,1.4482911703262598,0.2698375144191807,0.023683558075848616,1.46,-0.11265729075028275,85.89743589743588
2.0,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,0.3176924285223732,1.1801011976606492,0.2926358334175106,0.000549004250631731,1.36,-0.18188513572116294,81.79487179487178
3.0,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.2957511058901836,1.3067439695428409,0.27330465038306057,-0.02282956979242654,1.45,-0.1297396816518679,81.53846153846152
4.0,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,0.3243397122906222,1.093698743534631,0.2719535450128533,0.005103525830528313,1.38,-0.16217208574644848,80.64102564102562
5.0,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,0.32478927222623,1.0265242847993001,0.2119482701352573,0.016232169761417024,0.8,-0.12588275606922517,79.48717948717949
6.0,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,0.35102527889035406,0.9982309868636413,0.2607666908004223,-0.0662654286280376,1.38,-0.20960883862039192,76.7948717948718
7.0,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,0.3044861306002782,1.2082665673727175,0.23201007160635082,-0.03175144113890976,1.54,-0.1501238549864533,74.35897435897435
8.0,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,0.2917135767741186,1.2349300257743294,0.2827036785246582,0.01813388408385925,1.6,-0.1639674294693263,73.2051282051282
9.0,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,0.28960211096593724,1.0272133278753695,0.21399784776051212,0.02108631625012804,1.6,-0.11291596329323073,67.56410256410257
10.0,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,0.2666309129954312,0.9453082575156095,0.3033696538698332,-0.02319606204405971,1.43,-0.2870600572176455,66.53846153846153
11.0,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,0.2699350260734621,0.9497958246616031,0.3005787817097677,0.011455159960520695,1.52,-0.31171900300634214,66.02564102564104
12.0,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,0.26863103668817145,1.1321218524747243,0.26598577542043045,-0.002523004664699212,1.61,-0.17248105753451382,65.8974358974359
12.0,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,0.22646647456747715,1.0816591793457042,0.21829397904608644,-0.008353832126962014,1.51,-0.17414075086657232,65.8974358974359
14.0,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.16263375081360643,0.9532794968660104,0.1986859936686296,-0.02615930751351341,0.66,-0.11803493502764295,65.12820512820512
15.0,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,0.18429918008610047,0.7757902498211205,0.17729754927531766,0.048820404259577385,0.92,-0.15200013055606398,58.205128205128204
16.0,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,0.2000321571698329,0.664856998549062,0.1513635464823924,-0.001433521389780139,0.89,-0.1165062450540909,57.948717948717956
17.0,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,0.21084691029380598,0.6452074382933215,0.15643835948169668,-0.03663900671860934,0.72,-0.18629743138595511,57.69230769230769
18.0,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,0.19662361245910964,0.8170993373494367,0.17048756803412696,-0.019486785689474536,1.57,-0.1085986215250232,53.84615384615385
19.0,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,0.14744434832760533,0.9262873467360144,0.20873010086942337,-0.02638771994384303,1.52,-0.1527259422823477,52.435897435897445
19.0,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,0.13974980348212673,0.7979728586052847,0.17703302365844073,-0.0402689523698206,1.42,-0.13897862823061635,52.435897435897445
21.0,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,0.18417429266835228,0.6488787755249532,0.1625385327998104,0.04189646272811975,1.41,-0.1982565826298267,49.87179487179487
22.0,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,0.07392538786263403,0.4957233929533123,0.06746210411099539,-0.0004440926329707226,0.74,-0.0009773140045925555,46.666666666666664
23.0,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,0.20811559826631898,0.12961449795669328,0.08232801295222093,0.02588321244009315,0.75,-0.21751396370148224,46.28205128205128
24.0,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,0.25549670172502026,0.6195175900829828,0.16211256794033255,0.016682689437770806,1.64,-0.21539827112383225,45.0
25.0,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,0.1803973982038829,0.46403744922047774,0.13173190226099432,-0.004050271130006511,1.54,-0.14844576917771746,42.43589743589743
26.0,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,0.11242518737374207,0.30061192104254786,0.11989100971217971,0.009054412621739139,0.78,-0.21117279560132118,40.641025641025635
27.0,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,0.06694394239074852,-0.08874729621557288,0.06455677495375998,-0.0004007442394784006,0.6,-0.0011629327956168556,39.61538461538462
28.0,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.1726301444443794,0.4942725378672349,0.13042924450705445,0.0363563990221998,1.59,-0.1757361416468729,37.82051282051282
29.0,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,0.080060298597036,0.44843400890899127,0.1750072167561127,0.10349663691337589,1.53,-0.2334488614483311,36.92307692307692
30.0,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,0.04061259859840338,-0.35662950751436784,0.05074772999976104,0.0012566742731558475,0.55,-0.08316361763638702,32.94871794871795
31.0,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,0.05838988442093762,-0.22657538662791576,0.05620895216638369,-0.006413850728276476,0.77,-0.04328728923970093,32.05128205128205
